endpoint,name,output_type,resolutions,duration_options,supports_768p,supports_2k,single_prompt_2k,historical_price,dated_page_evidence,verification
rhart-video-v3.1-lite/text-to-video,全能视频V3.1-lite-文生视频-低价渠道版,video,720p|1080p|4k,8,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1080p""},""price"":0.25},{""when"":{""resolution"":""4k""},""price"":0.5},{""when"":{""resolution"":""720p""},""price"":0.2}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
rhart-video-v3.1-lite/image-to-video,全能视频V3.1-lite-图生视频-低价渠道版,video,720p|4k,8,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1080p""},""price"":0.25},{""when"":{""resolution"":""4k""},""price"":0.5},{""when"":{""resolution"":""720p""},""price"":0.2}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
pixverse-c1/text-to-video,PixVerse C1 文生视频,video,360p|540p|720p|1080p,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution"",""generateAudioSwitch""],""rules"":[{""when"":{""resolution"":""1080p"",""generateAudioSwitch"":""false""},""price"":0.6},{""when"":{""resolution"":""1080p"",""generateAudioSwitch"":""true""},""price"":0.76},{""when"":{""resolution"":""360p"",""generateAudioSwitch"":""false""},""price"":0.19},{""when"":{""resolution"":""360p"",""generateAudioSwitch"":""true""},""price"":0.25},{""when"":{""resolution"":""540p"",""generateAudioSwitch"":""false""},""price"":0.25},{""when"":{""resolution"":""540p"",""generateAudioSwitch"":""true""},""price"":0.32},{""when"":{""resolution"":""720p"",""generateAudioSwitch"":""false""},""price"":0.32},{""when"":{""resolution"":""720p"",""generateAudioSwitch"":""true""},""price"":0.41}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
pixverse-c1/image-to-video,PixVerse C1 图生视频,video,360p|540p|720p|1080p,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution"",""generateAudioSwitch""],""rules"":[{""when"":{""resolution"":""1080p"",""generateAudioSwitch"":""false""},""price"":0.6},{""when"":{""resolution"":""1080p"",""generateAudioSwitch"":""true""},""price"":0.76},{""when"":{""resolution"":""360p"",""generateAudioSwitch"":""false""},""price"":0.19},{""when"":{""resolution"":""360p"",""generateAudioSwitch"":""true""},""price"":0.25},{""when"":{""resolution"":""540p"",""generateAudioSwitch"":""false""},""price"":0.25},{""when"":{""resolution"":""540p"",""generateAudioSwitch"":""true""},""price"":0.32},{""when"":{""resolution"":""720p"",""generateAudioSwitch"":""false""},""price"":0.32},{""when"":{""resolution"":""720p"",""generateAudioSwitch"":""true""},""price"":0.41}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
pixverse-c1/transition,PixVerse C1 转场,video,360p|540p|720p|1080p,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒起"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution""],""rules"":[{""when"":{""resolution"":""1080p""},""price"":2.52},{""when"":{""resolution"":""360p""},""price"":0.63},{""when"":{""resolution"":""540p""},""price"":0.63},{""when"":{""resolution"":""720p""},""price"":1.26}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
pixverse-c1/reference-to-video,PixVerse C1 参考生视频,video,360p|540p|720p|1080p,,False,False,excluded_no_2k,"{""currency"":""CNY"",""unit"":""/秒"",""pricing_type"":""parameter_based"",""depends_on"":[""resolution"",""generateAudioSwitch""],""rules"":[{""when"":{""resolution"":""1080p"",""generateAudioSwitch"":""false""},""price"":0.6},{""when"":{""resolution"":""1080p"",""generateAudioSwitch"":""true""},""price"":0.76},{""when"":{""resolution"":""360p"",""generateAudioSwitch"":""false""},""price"":0.19},{""when"":{""resolution"":""360p"",""generateAudioSwitch"":""true""},""price"":0.25},{""when"":{""resolution"":""540p"",""generateAudioSwitch"":""false""},""price"":0.25},{""when"":{""resolution"":""540p"",""generateAudioSwitch"":""true""},""price"":0.32},{""when"":{""resolution"":""720p"",""generateAudioSwitch"":""false""},""price"":0.32},{""when"":{""resolution"":""720p"",""generateAudioSwitch"":""true""},""price"":0.41}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
image-enhance/hypir-ultra,HYPIR-ULTRA,image,,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""fixed"",""depends_on"":null,""rules"":null,""price"":0.1,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
kling-v3.0-4k/motion-control,可灵动作控制V3.0-4k,video,,,False,False,excluded_no_2k,"{""status"":""no_public_price"",""note"":""官方公开定价文件无此端点条目""}",[],schema_verified
hitem3d-v21/image-to-3d,hitem3d-v21/image-to-3d,3d,1536pro|1536fast,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""requestType"",""resolution""],""rules"":[{""when"":{""requestType"":""both"",""resolution"":""1536fast""},""price"":29.4},{""when"":{""requestType"":""both"",""resolution"":""1536pro""},""price"":9.8},{""when"":{""requestType"":""mesh"",""resolution"":""1536fast""},""price"":16.8},{""when"":{""requestType"":""mesh"",""resolution"":""1536pro""},""price"":5.6}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
hitem3d-v21/multi-image-to-3d,hitem3d-v21/multi-image-to-3d,3d,1536pro|1536fast,,False,False,not_video,"{""currency"":""CNY"",""unit"":""/次"",""pricing_type"":""parameter_based"",""depends_on"":[""requestType"",""resolution""],""rules"":[{""when"":{""requestType"":""both"",""resolution"":""1536fast""},""price"":21.0},{""when"":{""requestType"":""both"",""resolution"":""1536pro""},""price"":7.0},{""when"":{""requestType"":""mesh"",""resolution"":""1536fast""},""price"":16.8},{""when"":{""requestType"":""mesh"",""resolution"":""1536pro""},""price"":5.6}],""price"":null,""snapshot_version"":""2026-04-29"",""status"":""official_listed_price""}",[],schema_verified
