endpoint,sku_id,name,category,output_type,resolutions,explicit_2k,classification,presence,upstream_updated_at,retrieved_at,source_url
kling-v3.0-pro/image-to-video,2019246422731591682,可灵图生视频3.0-pro,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-30 18:12:50,2026-09-21T07:32:05.519271+00:00,https://www.runninghub.cn/call-api/api-detail/2019246422731591682
kling-v3.0-pro/motion-control,2031354034474311684,可灵动作控制V3.0-pro,motion-control,video,,False,excluded_no_2k,in_both,2026-07-27 10:40:54,2026-09-21T07:32:13.581869+00:00,https://www.runninghub.cn/call-api/api-detail/2031354034474311684
kling-v3.0-pro/text-to-video,2019246066681319426,可灵文生视频3.0-pro,text-to-video,video,,False,excluded_no_2k,in_both,2026-07-30 18:12:50,2026-09-21T07:32:05.299161+00:00,https://www.runninghub.cn/call-api/api-detail/2019246066681319426
kling-v3.0-std/image-to-video,2019243340861870082,可灵图生视频3.0-std,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-30 18:12:50,2026-09-21T07:32:04.957005+00:00,https://www.runninghub.cn/call-api/api-detail/2019243340861870082
kling-v3.0-std/motion-control,2031354034474311683,可灵动作控制V3.0-std,motion-control,video,,False,excluded_no_2k,in_both,2026-07-27 10:40:44,2026-09-21T07:32:13.449261+00:00,https://www.runninghub.cn/call-api/api-detail/2031354034474311683
kling-v3.0-std/text-to-video,2019233725814214658,可灵文生视频3.0-std,text-to-video,video,,False,excluded_no_2k,in_both,2026-07-30 18:12:50,2026-09-21T07:32:04.712158+00:00,https://www.runninghub.cn/call-api/api-detail/2019233725814214658
kling-video-o1-std/edit-video,2012067220412493828,可灵视频编辑o1,video-edit,video,,False,excluded_no_2k,in_both,2026-07-27 10:27:02,2026-09-21T07:31:58.313253+00:00,https://www.runninghub.cn/call-api/api-detail/2012067220412493828
kling-video-o1-std/refrence-to-video,2012067220412493827,可灵参考生视频o1,reference-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:26:53,2026-09-21T07:31:57.517093+00:00,https://www.runninghub.cn/call-api/api-detail/2012067220412493827
kling-video-o1/image-to-video,2012004604507910146,可灵图生视频o1,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:26:35,2026-09-21T07:31:56.284552+00:00,https://www.runninghub.cn/call-api/api-detail/2012004604507910146
kling-video-o1/start-to-end,2012030892408893442,可灵首尾帧生视频o1,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:26:43,2026-09-21T07:31:56.889814+00:00,https://www.runninghub.cn/call-api/api-detail/2012030892408893442
kling-video-o1/text-to-video,2012001656184827905,可灵文生视频o1,text-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:26:26,2026-09-21T07:31:54.584435+00:00,https://www.runninghub.cn/call-api/api-detail/2012001656184827905
kling-video-o3-4k/image-to-video,2047563851324841989,可灵图生视频o3-4k,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:41:39,2026-09-21T07:32:30.549847+00:00,https://www.runninghub.cn/call-api/api-detail/2047563851324841989
kling-video-o3-4k/reference-to-video,2047563851324841990,可灵参考生视频o3-4k,reference-to-video,video,,False,excluded_no_2k,in_both,2026-08-18 11:33:27,2026-09-21T07:32:31.323944+00:00,https://www.runninghub.cn/call-api/api-detail/2047563851324841990
kling-video-o3-4k/text-to-video,2047563851324841988,可灵文生视频o3-4k,text-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:41:31,2026-09-21T07:32:30.271194+00:00,https://www.runninghub.cn/call-api/api-detail/2047563851324841988
kling-video-o3-pro/image-to-video,2019623243725737985,可灵图生视频o3-pro,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-30 18:12:50,2026-09-21T07:32:06.609634+00:00,https://www.runninghub.cn/call-api/api-detail/2019623243725737985
kling-video-o3-pro/reference-to-video,2019638479950254081,kling-video-o3-pro/reference-to-video,reference-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:40:25,2026-09-21T07:32:07.719725+00:00,https://www.runninghub.cn/call-api/api-detail/2019638479950254081
kling-video-o3-pro/text-to-video,2019620511153459202,可灵文生视频o3-pro,text-to-video,video,,False,excluded_no_2k,in_both,2026-07-30 18:12:50,2026-09-21T07:32:07.548369+00:00,https://www.runninghub.cn/call-api/api-detail/2019620511153459202
kling-video-o3-pro/video-edit,2019630371244937218,kling-video-o3-pro/video-edit,video-edit,video,,False,excluded_no_2k,in_both,2026-07-27 10:40:05,2026-09-21T07:32:07.154283+00:00,https://www.runninghub.cn/call-api/api-detail/2019630371244937218
kling-video-o3-std/image-to-video,2019621114621530113,可灵图生视频o3-std,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-30 18:12:50,2026-09-21T07:32:06.363551+00:00,https://www.runninghub.cn/call-api/api-detail/2019621114621530113
kling-video-o3-std/reference-to-video,2019634451799412737,kling-video-o3-std/reference-to-video,reference-to-video,video,,False,excluded_no_2k,in_both,2026-07-27 10:40:14,2026-09-21T07:32:07.538423+00:00,https://www.runninghub.cn/call-api/api-detail/2019634451799412737
kling-video-o3-std/text-to-video,2019608799960436737,可灵文生视频o3-std,text-to-video,video,,False,excluded_no_2k,in_both,2026-07-30 18:12:50,2026-09-21T07:32:06.068585+00:00,https://www.runninghub.cn/call-api/api-detail/2019608799960436737
kling-video-o3-std/video-edit,2019627228264206337,kling-video-o3-std/video-edit,video-edit,video,,False,excluded_no_2k,in_both,2026-07-27 10:39:57,2026-09-21T07:32:06.954107+00:00,https://www.runninghub.cn/call-api/api-detail/2019627228264206337
minimax/h3-max-turbo/image-to-video,2133100000000504402,MiniMax-H3-Max-Turbo 图生视频（首尾帧）,image-to-video,video,480p|768p,False,excluded_no_2k,in_both,2026-09-04 16:29:09,2026-09-21T07:32:51.762604+00:00,https://www.runninghub.cn/call-api/api-detail/2133100000000504402
minimax/h3-max-turbo/text-to-video,2133100000000504401,MiniMax-H3-Max-Turbo 文生视频,text-to-video,video,480p|768p,False,excluded_no_2k,in_both,2026-09-04 16:30:23,2026-09-21T07:32:51.642542+00:00,https://www.runninghub.cn/call-api/api-detail/2133100000000504401
minimax/hailuo-02/fast,2012030892408893441,海螺-02-fast,image-to-video,video,,False,excluded_no_2k,in_both,2026-07-24 20:01:30,2026-09-21T07:31:57.858874+00:00,https://www.runninghub.cn/call-api/api-detail/2012030892408893441
